ls:fr:lf:888	$1=‘sportifs’
ls:fr:lf:889	$1=‘paysans’
ls:fr:lf:894	$1=‘chanteurs’
ls:fr:lf:895	$1=‘instrumentistes’
ls:fr:lf:926	$1=‘cyclistes’
ls:fr:lf:991	$2=‘négatif’
ls:fr:lf:644	$2=‘médicaments
ls:fr:lf:652	$2=‘affaires
ls:fr:lf:752	$2=‘muscle’
ls:fr:lf:830	$2=‘s’arrêter’
ls:fr:lf:831	$2=‘continuer
ls:fr:lf:832	$2=‘se
ls:fr:lf:849	$2=‘vaisselle’
ls:fr:lf:850	$2=‘mains’
ls:fr:lf:851	$2=‘verres’
ls:fr:lf:859	$2=‘linge’
ls:fr:lf:860	$2=‘corps’
ls:fr:lf:877	$2=‘autoroute’
ls:fr:lf:908	$3=‘peur’
ls:fr:lf:2	Syn
ls:fr:lf:4	Syn_⊂
ls:fr:lf:5	Syn_⊃
ls:fr:lf:3	Syn_∩
ls:fr:lf:6	Hypo
ls:fr:lf:8	Cf
ls:fr:lf:387	Syn_⊃^sex
ls:fr:lf:560	CapMult
ls:fr:lf:683	Syn_⊂^sex
ls:fr:lf:862	De_nouveau
ls:fr:lf:915	Anc
ls:fr:lf:912	Conv_2
ls:fr:lf:9	Conv_21
ls:fr:lf:459	Conv_21⊂
ls:fr:lf:369	Conv_21⊃
ls:fr:lf:460	Conv_21∩
ls:fr:lf:872	S_2
ls:fr:lf:357	Conv_213
ls:fr:lf:417	Conv_23
ls:fr:lf:1011	Conv_231
ls:fr:lf:428	Conv_312
ls:fr:lf:733	Conv_32
ls:fr:lf:375	Conv_321
ls:fr:lf:1005	Conv_3214
ls:fr:lf:631	Conv_423
ls:fr:lf:10	Anti
ls:fr:lf:11	Anti_⊃
ls:fr:lf:12	Anti_⊂
ls:fr:lf:13	Anti_∩
ls:fr:lf:962	V_0Anti
ls:fr:lf:963	S_0Anti
ls:fr:lf:15	A_1Non
ls:fr:lf:16	Contr
ls:fr:lf:17	Fem
ls:fr:lf:18	Masc
ls:fr:lf:19	Epit
ls:fr:lf:447	Redun
ls:fr:lf:563	Redun_⊃
ls:fr:lf:20	Gener
ls:fr:lf:610	Figur
ls:fr:lf:21	S_0
ls:fr:lf:399	S_0⊂
ls:fr:lf:348	S_0⊃
ls:fr:lf:371	S_0∩
ls:fr:lf:900	S_1
ls:fr:lf:452	S_2
ls:fr:lf:871	S_3
ls:fr:lf:906	S_4
ls:fr:lf:354	S_0Conv_21
ls:fr:lf:366	S_0Pred
ls:fr:lf:386	S_0Pred_⊂
ls:fr:lf:453	S_0Pred_∩
ls:fr:lf:457	SingS_0
ls:fr:lf:609	S_0^usual
ls:fr:lf:836	S_0Conv_213
ls:fr:lf:890	S_res
ls:fr:lf:897	S_res
ls:fr:lf:898	Magn_1^quant
ls:fr:lf:23	V_0
ls:fr:lf:24	V_0⊃
ls:fr:lf:25	V_0⊂
ls:fr:lf:26	V_0∩
ls:fr:lf:27	Enun
ls:fr:lf:346	V_0Conv_21
ls:fr:lf:835	V_0Conv_213
ls:fr:lf:845	EnunCaus_1Pred
ls:fr:lf:904	V_0Conv_413
ls:fr:lf:955	Magn
ls:fr:lf:28	A_0
ls:fr:lf:342	A_0⊃
ls:fr:lf:351	A_1
ls:fr:lf:378	A_0Mult
ls:fr:lf:394	A_0⊂
ls:fr:lf:403	A_0∩
ls:fr:lf:657	A_0Real_1
ls:fr:lf:914	Adv_0
ls:fr:lf:29	Adv_0
ls:fr:lf:356	Adv_0∩
ls:fr:lf:415	Adv_0⊃
ls:fr:lf:31	S_1
ls:fr:lf:30	S_1^usual
ls:fr:lf:32	S_1/2^usual
ls:fr:lf:34	S_1/2
ls:fr:lf:35	individu
ls:fr:lf:36	qui
ls:fr:lf:37	S_1^prototyp
ls:fr:lf:38	S_1.2^prototyp
ls:fr:lf:39	MultS_1^prototyp
ls:fr:lf:341	S_1⊃
ls:fr:lf:347	S_3
ls:fr:lf:359	S_1/2Perf
ls:fr:lf:361	S_1+2
ls:fr:lf:362	SingS_1
ls:fr:lf:373	MultS_1
ls:fr:lf:376	S_1⊃^usual
ls:fr:lf:423	S_1Perf
ls:fr:lf:499	MultS_1/2
ls:fr:lf:505	S_1∩
ls:fr:lf:509	S_1∩^usual
ls:fr:lf:529	S_1CausOper_1
ls:fr:lf:578	S_1⊂
ls:fr:lf:589	Magn
ls:fr:lf:987	S_1[1]
ls:fr:lf:593	S_1/2Pred
ls:fr:lf:594	S_1Pred
ls:fr:lf:599	S_1^usualPred
ls:fr:lf:600	S_1.1^prototyp
ls:fr:lf:601	Sing
ls:fr:lf:602	S_1+2⊃Pred
ls:fr:lf:612	S_1^prototypPred
ls:fr:lf:749	S_1.1
ls:fr:lf:758	AntiMagn
ls:fr:lf:816	S_1.2⊃
ls:fr:lf:893	S_1/2^prototyp
ls:fr:lf:896	SingS_1⊃
ls:fr:lf:907	Sing
ls:fr:lf:910	MultS_1⊃
ls:fr:lf:934	Mult
ls:fr:lf:938	S_1⊂^usual
ls:fr:lf:954	SingS_1^prototyp
ls:fr:lf:977	S_1∩Pred
ls:fr:lf:40	S_2
ls:fr:lf:41	S_loc
ls:fr:lf:42	S_instr
ls:fr:lf:43	S_res
ls:fr:lf:44	S_2/3
ls:fr:lf:48	individu
ls:fr:lf:50	S_2.1
ls:fr:lf:1019	S_2.1^prototyp
ls:fr:lf:52	S_2^prototyp
ls:fr:lf:54	S_2.2^prototyp
ls:fr:lf:55	SingS_2
ls:fr:lf:56	MultS_2
ls:fr:lf:57	AntiBonS_2
ls:fr:lf:332	S_2^usual
ls:fr:lf:338	S_2⊃
ls:fr:lf:406	S_2∩
ls:fr:lf:407	S_2Perf
ls:fr:lf:416	S_loc
ls:fr:lf:456	S_med
ls:fr:lf:494	S_2/3Perf
ls:fr:lf:528	Cap
ls:fr:lf:685	S_2.2
ls:fr:lf:771	AntiMagn^quantS_2
ls:fr:lf:792	S_2.2⊃
ls:fr:lf:924	S_2/4^prototyp
ls:fr:lf:951	S_2⊂
ls:fr:lf:976	S_2/3^prototyp
ls:fr:lf:59	S_3
ls:fr:lf:60	S_3^prototyp
ls:fr:lf:952	S_3⊂
ls:fr:lf:512	S_3⊃
ls:fr:lf:870	S_3∩
ls:fr:lf:923	S_3/5
ls:fr:lf:334	S_instr
ls:fr:lf:566	S_med
ls:fr:lf:377	S_loc
ls:fr:lf:948	S_mod
ls:fr:lf:996	S_res
ls:fr:lf:395	S_3^usual
ls:fr:lf:411	S_instr
ls:fr:lf:573	MultS_3
ls:fr:lf:61	S_4
ls:fr:lf:333	S_4Perf
ls:fr:lf:380	S_4^prototyp
ls:fr:lf:404	S_instr
ls:fr:lf:405	S_loc
ls:fr:lf:435	S_med
ls:fr:lf:878	S_instr
ls:fr:lf:62	S_instr
ls:fr:lf:205	S_instrCausFunc_0
