n1	t	n2
à I.1	Syn	en direction
à I.1	Syn	sur IV
à I.1	Syn	vers I
à propos 1	Syn	au sujet
à propos 1	Syn	concernant
abandonner II.2	S0	abandon I.1
abandonner II.2	A2	abandonné Adj 2
abandonner II.2	Syn	tourner le dos III
abîme I	Syn	gouffre I
abîmer I	Syn	détériorer
abonner	S0	abonnement 1
abonner	Anti	désabonner
abonner	Sres	abonnement 2
abonner	S2	abonné N
abonner	S2	abonnée
abonner	A2	abonné Adj
abri 2	Syn	guitoune 2
abriter 1	S1	abri 2
abriter 1	Conv-ij	s’abriter
abriter 1	Caus	abriter 2
absence 2	Anti	présence
absence 2	S1	absent N
absence 2	S1	absente
absence 2	Syn	lapin 2
absence 2	V0	manquer II
absolument	A0	absolu Adj 1
absorber I.1	S0	absorption I.1
absorber I.1	Able1	absorbant
absorber I.1	Able2	absorbable
abuser I	S0	abus
accélérer II.2	S0	accélération I.2
accélérer II.2	Able1	accélérateur Adj
accélérer II.2	Anti	ralentir III.2
accent I.1	A0	accentuel
accent I.1	Real1	mettre II.2
accent I.1	Real1	accentuer I.1
accent I.1	Real2	porter IV
accent I.1	A2	accentué I.1
accepter 1	S0	acceptation
accepter 1	A2	accepté
accepter 1	Able2	acceptable
accepter 1	Syn	se soumettre II
accepter 1	Anti	refuser I.1
accès I.1	V0	accéder I
accès I.1	Able2	accessible I
accès I.1	S3	accès II.1
accident I	S1	accidentée
accident I	S1	accidenté N
accident I	A1	accidenté Adj
accident I	S2	véhicule I.a
accomplir I	S0	accomplissement I.a
accomplir I	Syn	exécuter I.1
accomplir I	A2	accompli I
accord 1	Anti	désaccord
accord 1	V0	s’accorder I
accord 1	Syn	concert II.2
accorder I	Syn	attribuer
accoucher a	S0	accouchement
accoucher a	S1	parturiente
accoucher a	S3	accoucheuse
accoucher a	S3	accoucheur
accoucher a	Syn	pousser III.1
accrocher I	S0	accrochage
accrocher I	Anti	décrocher 1
accrocher I	Syn	suspendre I
accueillir I.1	S0	accueil
accumuler I	S0	accumulation
accuser I.1	S0	accusation I.1
accuser I.1	S1	accusatrice
accuser I.1	S1	accusateur N
accuser I.1	S2	accusée
accuser I.1	S2	accusé N
accuser I.1	A2	accusé Adj
accuser I.1	A2	accusateur Adj
acheter	S0	achat I
acheter	S1	acheteuse
acheter	S1	acheteur
acheter	Able2	achetable
acheter	Syn	acquérir I
acheter	Conv-ij	vendre I.1
achever II	S0	achèvement 1
achever II	Syn	finir II.2
achever II	Syn	terminer I.1a
acquérir I	S0	acquisition I
acquérir I	S1	acquéreur N
acquérir I	S1	acquéreuse
acquérir I	A1	acquéreur Adj
acte I	Syn	action I.1
acteur 1	Syn	actrice
acteur 1	Syn	comédien
actif Adj I	Anti	inactif I
actif Adj I	Adv0	activement
actif Adj I	S1	actif N I.1
actif Adj I	S1	active I.1
actif Adj I	Syn	sur les dents
action I.1	Syn	acte I
activité III	Syn	sport N II
actualité 1	Anti	passé N I
adapter	Able2	adaptable
adapter	S0	adaptation
adapter	Syn	ajuster I
additionner	Anti	soustraire I
additionner	S0	addition I.1
